Time_Bucket,Departures,Arrivals,Avg_Wait_min
07:00,5185,640,1.27
07:15,5125,2775,1.52
07:30,5025,4320,1.8
07:45,5195,4675,1.94
08:00,7050,6045,2.07
08:15,7235,7150,2.08
08:30,7120,7035,2.04
08:45,6990,7095,2.06
09:00,5310,6290,1.95
09:15,5205,5790,1.76
09:30,5110,5765,1.35
09:45,5130,5440,1.28
10:00,4770,5710,1.29
10:15,4655,5380,1.4
10:30,4635,4720,1.4
10:45,4670,4675,1.33
11:00,0,3100,1.4
11:15,0,1365,1.38
11:30,0,265,1.5
11:45,0,140,0
12:00,0,35,0
