OD_Pair,Total_Passengers,Avg_Travel_Time_min
1501 -> 1479,135,12.0
193 -> 197,130,15.08
197 -> 193,130,15.5
840 -> 893,130,8.0
1156 -> 183,130,33.88
1112 -> 979,130,12.0
993 -> 466,130,30.56
944 -> 525,130,24.08
242 -> 189,130,8.0
638 -> 558,130,50.58
453 -> 782,130,24.0
687 -> 576,130,1.88
77 -> 67,130,33.58
141 -> 249,130,22.35
189 -> 242,130,8.0
185 -> 355,130,18.38
972 -> 770,130,17.23
770 -> 972,130,16.31
979 -> 728,130,36.0
984 -> 1288,130,22.92
148 -> 733,130,28.12
937 -> 1078,125,12.0
1024 -> 623,125,17.08
401 -> 346,125,24.78
1078 -> 627,125,30.92
468 -> 523,125,8.0
523 -> 468,125,8.0
244 -> 146,125,16.0
344 -> 416,125,30.0
892 -> 1165,125,12.5
1165 -> 892,125,12.66
1413 -> 1112,125,44.0
890 -> 986,125,20.0
977 -> 877,125,8.0
988 -> 1164,125,16.0
1164 -> 988,125,16.0
1413 -> 1413,125,0.0
682 -> 890,125,20.0
877 -> 977,125,8.0
636 -> 469,120,12.0
998 -> 951,120,12.0
1132 -> 633,120,25.08
1200 -> 834,120,32.0
589 -> 453,120,50.0
151 -> 151,120,0.0
880 -> 1027,120,12.0
633 -> 577,120,4.0
951 -> 956,120,20.0
151 -> 249,120,12.21
956 -> 998,120,26.42
249 -> 151,120,12.46
1023 -> 1112,120,12.0
577 -> 1132,120,23.08
355 -> 185,120,19.96
521 -> 89,120,13.59
586 -> 586,120,0.0
577 -> 576,120,4.0
631 -> 577,120,8.0
301 -> 748,120,32.0
689 -> 580,115,8.0
96 -> 1089,115,69.23
872 -> 872,115,0.0
684 -> 1347,115,41.24
894 -> 520,115,21.83
1233 -> 978,115,32.0
1006 -> 464,115,25.59
638 -> 497,115,55.63
1234 -> 1426,115,24.0
580 -> 527,115,8.0
1426 -> 466,115,63.37
634 -> 523,115,8.0
521 -> 408,115,7.57
1500 -> 1443,115,31.17
1133 -> 521,115,20.74
344 -> 344,115,0.0
249 -> 141,115,22.8
872 -> 972,115,8.0
344 -> 343,115,4.0
1074 -> 1030,115,4.0
240 -> 633,115,13.74
590 -> 748,110,19.23
890 -> 574,110,14.64
951 -> 689,110,20.0
1120 -> 577,110,29.64
748 -> 590,110,20.23
104 -> 150,110,4.0
685 -> 685,110,0.0
150 -> 104,110,4.0
894 -> 792,110,12.55
1057 -> 1008,110,8.0
360 -> 577,110,24.86
1192 -> 576,110,27.45
1113 -> 735,110,41.5
410 -> 292,110,12.0
735 -> 1113,110,44.73
787 -> 1179,110,29.0
292 -> 522,110,13.41
1040 -> 632,110,25.09
577 -> 360,110,24.32
314 -> 574,110,27.23
571 -> 54,110,14.12
269 -> 939,110,32.95
1167 -> 842,105,14.69
842 -> 1167,105,14.36
1170 -> 845,105,25.29
983 -> 880,105,16.57
944 -> 1042,105,8.0
686 -> 522,105,11.05
897 -> 686,105,16.0
352 -> 624,105,56.45
1042 -> 688,105,32.0
988 -> 1124,105,12.57
293 -> 737,105,18.36
737 -> 293,105,24.17
1261 -> 410,105,39.36
845 -> 1170,105,25.38
89 -> 292,105,13.24
729 -> 729,105,0.0
842 -> 413,105,28.07
292 -> 89,105,10.29
689 -> 638,105,16.0
405 -> 790,105,14.12
515 -> 782,105,28.0
70 -> 1288,105,46.9
854 -> 954,105,11.95
954 -> 854,105,11.76
522 -> 1072,105,23.4
584 -> 467,105,28.0
718 -> 977,105,21.94
684 -> 680,105,16.0
1378 -> 1378,105,0.0
1443 -> 1500,105,32.5
348 -> 298,105,19.69
1112 -> 1023,105,12.0
298 -> 348,105,21.67
792 -> 790,105,8.0
405 -> 187,100,24.0
733 -> 1097,100,34.3
571 -> 577,100,12.52
174 -> 464,100,31.11
927 -> 689,100,43.15
904 -> 143,100,53.85
689 -> 1443,100,34.45
1316 -> 1479,100,28.4
931 -> 931,100,0.0
477 -> 421,100,4.0
418 -> 145,100,20.0
677 -> 517,100,13.85
931 -> 972,100,36.0
597 -> 597,100,0.0
421 -> 477,100,4.0
1123 -> 1035,100,8.0
145 -> 418,100,20.0
568 -> 517,100,16.0
987 -> 987,100,0.0
585 -> 411,100,32.0
1479 -> 1378,100,16.0
972 -> 931,100,36.0
576 -> 463,100,11.45
533 -> 148,100,28.0
577 -> 349,100,15.5
1198 -> 988,100,28.0
464 -> 174,100,30.9
1158 -> 282,100,38.9
1080 -> 890,100,15.6
748 -> 642,100,12.0
368 -> 524,100,33.85
193 -> 1143,100,66.7
642 -> 748,100,12.0
42 -> 42,100,0.0
514 -> 629,95,24.0
1170 -> 522,95,19.0
453 -> 517,95,13.79
399 -> 514,95,12.0
242 -> 690,95,35.11
1080 -> 737,95,16.5
1198 -> 183,95,42.05
639 -> 409,95,36.0
132 -> 790,95,25.29
677 -> 677,95,0.0
