departure_hour,start_hex_id,end_hex_id,demands
0,1,603,70.41141335
0,90,351,70.12262195
0,233,1065,45.347123
0,328,328,44.63960095
0,465,695,41.890526
0,522,679,28.0092293
0,524,732,56.0312814
0,580,718,154.4542733
0,633,325,98.15319535
0,1065,233,45.347123
0,1083,1083,90.8869343
1,408,682,76.38909095
1,575,523,90.05310365
1,577,576,97.51761355
1,687,524,48.1877646
1,943,927,42.2538738
2,524,629,48.1877646
2,576,672,97.51761355
2,577,631,65.326673
3,523,594,90.05310365
3,1083,759,94.5047879
4,629,844,48.1877646
4,800,408,64.45230225
5,402,349,38.66694906
5,573,689,108.2018654
5,579,630,126.2070694
5,789,349,42.51989832
5,795,899,122.0396234
5,1085,413,80.20764804
5,1124,464,101.3036836
5,1151,580,82.87735266
5,1203,782,82.11389484
6,2,689,124.0999097
6,77,162,140.2423081
6,100,8,51.5355316
6,139,468,69.8991244
6,170,170,64.94657876
6,239,1014,136.4078143
6,297,401,57.58252129
6,299,1367,91.36451961
6,319,574,121.5279599
6,478,1178,66.60165358
6,541,689,70.70046326
6,575,1038,110.5977746
6,631,401,116.1465474
6,669,689,67.01360946
6,674,323,146.6967449
6,733,995,102.4703947
6,737,946,133.7980825
6,784,730,85.31878901
6,847,834,47.94544888
6,886,66,188.6298664
6,886,408,110.0000448
6,891,1336,139.7301756
6,904,569,109.0960461
6,971,689,131.9365613
6,974,571,130.502129
6,990,1336,64.15990189
6,993,751,99.82258335
6,1014,1014,105.1731762
6,1020,869,58.43832498
6,1033,937,46.51830547
6,1041,573,79.88822674
6,1065,577,56.06108067
6,1066,378,146.9347842
6,1068,522,59.75227706
6,1072,880,82.31475854
6,1149,94,82.5226465
6,1149,872,79.11302483
6,1152,1352,159.5108764
6,1155,1326,113.46874
6,1158,576,60.2093429
6,1171,576,59.66671179
6,1381,1381,69.8991244
6,1440,563,122.6264877
7,45,580,86.6529165
7,96,1089,112.9178408
7,104,689,252.0247863
7,124,798,68.2031765
7,137,294,145.8796789
7,142,94,159.6717203
7,143,149,66.7153917
7,147,240,256.0664478
7,153,249,58.4358867
7,174,464,98.1412612
7,188,188,82.4761943
7,189,523,131.9847668
7,193,197,130.2201935
7,197,193,130.2201935
7,207,6,212.9223435
7,235,459,71.5392527
7,237,187,77.1339731
7,239,239,70.3556036
7,242,690,95.9649242
7,272,186,83.0121721
7,294,469,145.8796789
7,298,574,354.8457762
7,301,630,168.1353706
7,306,408,277.9011636
7,315,348,135.3405063
7,324,923,84.7205707
7,344,517,138.2852618
7,347,89,51.8433294
7,352,624,105.0135329
7,359,689,68.8163692
7,362,607,167.6463631
7,378,790,209.9068345
7,399,514,95.9649242
7,401,346,124.154927
7,401,518,70.0191484
7,403,687,63.0349944
7,405,187,98.5508977
7,412,629,245.9291014
7,412,1246,193.1147258
7,417,453,185.5189982
7,418,292,80.0494297
7,453,517,94.0224196
7,457,685,77.4680022
7,459,235,71.5392527
7,459,575,157.5551382
7,465,1012,79.4116427
7,468,523,125.7233317
7,470,525,84.6236917
7,474,626,71.7585182
7,476,1336,149.1426104
7,514,629,95.9649242
7,518,470,201.8492069
7,523,468,125.7233317
7,525,470,84.6236917
7,527,691,71.9859743
7,527,749,248.5212875
7,568,842,192.1075628
7,571,577,99.9097297
7,575,237,77.1339731
7,575,459,157.5551382
7,576,633,86.013347
7,590,748,106.9186565
7,593,595,55.3471609
7,615,187,146.1466646
7,629,629,157.3841441
7,634,741,201.2164454
7,636,469,119.4135873
7,639,409,95.3565616
7,642,408,75.8038346
7,642,1179,78.8929221
7,652,574,149.5394854
7,675,521,176.9442303
7,676,732,239.6856271
7,684,1347,112.8834972
7,686,522,105.3997218
7,689,580,111.8686904
7,689,1443,98.4304868
7,695,581,134.8787721
7,696,466,60.7449189
7,700,627,90.2090295
7,714,923,88.4518566
7,733,732,183.1947637
7,733,1097,96.8125443
7,735,1293,139.9122457
7,736,612,43.2278912
7,736,1445,69.5314776
7,746,689,62.5169623
7,767,923,76.026902
7,784,575,157.1429212
7,785,689,125.6574094
7,819,626,51.5511178
7,823,497,211.2968966
7,840,893,126.5781649
7,842,1167,105.0930938
7,845,845,51.1274621
7,872,872,113.0186069
7,886,407,69.0855719
7,890,574,108.2751609
7,892,299,65.3719964
7,894,520,113.0121511
7,894,893,99.3244296
7,895,1005,83.693926
7,897,686,105.3997218
7,904,143,97.1705914
7,920,624,80.3834909
7,923,324,84.7205707
7,927,689,99.2726046
7,928,1073,65.7095324
7,933,576,80.4708256
7,937,1078,123.7017134
7,941,187,48.2174052
7,941,1232,207.6944024
7,943,790,277.8886339
7,944,1042,101.4295826
7,951,689,109.7129127
7,983,880,101.3644208
7,986,244,135.3405063
7,987,579,57.5078853
7,993,466,126.1328445
7,998,689,61.3751397
7,998,951,118.1759592
7,1005,1095,80.7899554
7,1020,1145,154.5668653
7,1024,623,121.5875396
7,1025,830,161.8970648
7,1025,1326,62.5169623
7,1040,992,87.3709455
7,1042,688,101.4295826
7,1065,923,161.5877715
7,1070,637,193.6994168
7,1078,627,123.7017134
7,1079,979,84.6591317
7,1080,558,181.4540458
7,1080,737,94.9561897
7,1081,1118,86.8424225
7,1082,576,77.0182331
7,1090,1090,218.0721066
7,1112,979,127.446425
7,1118,453,64.2094064
7,1120,577,108.4288643
7,1130,1209,185.4844582
7,1132,633,119.9469727
7,1140,285,185.9664133
7,1141,517,163.1332612
7,1141,581,157.0408724
7,1145,1020,154.5668653
7,1152,979,68.061617
7,1156,183,128.20575
7,1158,407,217.51295
7,1167,842,105.0930938
7,1170,522,94.2559898
7,1170,845,101.692296
7,1180,691,82.7284283
7,1193,975,147.0884764
7,1198,183,92.9261638
7,1200,834,118.0014081
7,1205,1336,79.9994003
7,1260,1386,235.296768
7,1316,1479,98.1685351
7,1348,1409,65.2642846
7,1352,343,227.8726805
7,1386,144,235.296768
7,1408,689,136.7614132
7,1438,792,64.2874061
7,1439,1439,55.8361219
7,1491,1526,68.9449997
7,1536,1536,159.5550551
8,2,629,135.1142931
8,6,67,72.8775723
8,15,522,149.2367503
8,16,46,66.7153917
8,43,368,162.2893653
8,67,16,66.7153917
8,70,685,75.9270117
8,77,67,66.7153917
8,89,292,104.4671013
8,94,142,159.6717203
8,99,250,80.8284868
8,104,150,107.8027939
8,105,69,57.8523382
8,105,199,188.658302
8,132,790,93.0127913
8,141,196,87.6217891
8,141,249,126.6696264
8,144,1260,235.296768
8,145,418,96.2277297
8,148,199,94.9894506
8,150,104,107.8027939
8,151,151,119.1478591
8,189,242,130.1652515
8,192,196,58.9201019
8,206,15,149.2367503
8,235,235,85.2738767
8,235,236,76.556163
8,236,187,76.656881
8,236,235,237.0348065
8,236,497,187.4756211
8,239,522,82.3402852
8,239,635,80.8307177
8,242,189,130.1652515
8,244,146,122.3503587
8,244,352,191.1401178
8,247,302,86.0677146
8,252,143,57.9899974
8,261,368,170.6094958
8,286,1284,212.3406381
8,289,382,221.5663122
8,291,187,189.329098
8,291,345,62.7392484
8,291,499,139.8466873
8,292,89,104.4671013
8,292,418,80.0494297
8,292,522,107.2547286
8,293,737,105.3045765
8,295,1071,277.4671724
8,299,299,132.312284
8,299,301,132.312284
8,299,992,65.3719964
8,300,355,159.0608079
8,301,289,238.3548688
8,301,299,132.312284
8,302,149,82.3402852
8,302,198,86.0677146
8,303,67,72.0923659
8,312,368,148.5427872
8,316,368,91.4539588
8,343,466,207.6944024
8,344,416,121.1599485
8,346,183,86.4466695
8,348,348,120.4922105
8,349,349,64.4449151
8,349,404,75.1143344
8,350,468,72.6897423
8,350,522,73.6142346
8,351,681,140.2452439
8,352,629,191.1401178
8,352,689,76.3852844
8,355,300,159.0608079
8,358,418,233.1097918
8,360,577,109.1741011
8,363,249,66.3980397
8,368,43,162.2893653
8,368,312,148.5427872
8,399,904,136.2560511
8,401,89,82.2607447
8,404,349,75.1143344
8,410,292,107.2547286
8,410,352,148.8515724
8,417,468,179.862512
8,418,145,96.2277297
8,421,477,97.0745072
8,453,782,127.5567777
8,457,458,247.477059
8,457,1172,90.6620599
8,477,421,97.0745072
8,517,455,135.6515245
8,522,577,73.6142346
8,527,137,60.011334
8,534,136,54.0318508
8,536,581,62.2236469
8,567,567,52.030002
8,568,517,100.1492288
8,570,517,135.6515245
8,573,572,79.0776412
8,578,607,89.128257
8,578,793,182.3418841
8,580,527,111.8686904
8,580,630,63.7666869
8,584,584,210.7994436
8,585,411,97.1705914
8,588,16,66.9292325
8,589,453,116.141866
8,590,358,140.3058696
8,597,597,96.2602534
8,616,1288,212.5138767
8,620,578,90.5387258
8,621,675,94.5753091
8,629,88,157.3841441
8,630,301,168.1353706
8,633,577,119.9469727
8,638,497,115.0693414
8,638,558,130.951606
8,642,587,255.3486261
8,673,881,140.3058696
8,676,621,94.5753091
8,677,517,97.7195642
8,677,677,92.2455611
8,682,630,71.4018295
8,682,734,132.668687
8,685,685,108.5270747
8,686,686,67.4673098
8,687,576,130.5207423
8,689,638,102.2905301
8,695,457,83.781052
8,717,719,85.3603958
8,719,322,131.5837955
8,719,717,85.3603958
8,724,408,183.1488456
8,729,729,101.5450872
8,732,734,292.7557215
8,734,517,77.4680022
8,735,1113,108.2516582
8,737,293,105.3045765
8,737,411,251.4484971
8,740,496,207.62044
8,746,581,70.7673383
8,747,349,133.9492632
8,748,590,106.9186565
8,748,748,93.1103743
8,749,527,248.5212875
8,767,923,109.5609578
8,770,783,152.7712715
8,777,1156,153.2124544
8,782,784,150.9375702
8,784,782,150.9375702
8,785,689,94.2256092
8,787,1179,109.7872545
8,790,522,277.8886339
8,797,799,133.1033146
8,799,797,133.1033146
8,802,904,221.3564017
8,834,1089,68.4934984
8,841,790,71.3537351
8,842,413,105.0930938
8,844,524,160.7673625
8,845,1170,101.692296
8,853,580,87.3638829
8,854,632,92.824385
8,856,1055,150.3447966
8,880,1027,117.5925122
8,884,616,212.5138767
8,892,1165,121.2114724
8,893,943,53.3783107
8,894,792,108.3714634
8,894,893,184.5968807
8,904,399,136.2560511
8,904,802,221.3564017
8,906,411,79.559573
8,927,928,74.0904478
8,928,927,74.0904478
8,931,931,96.4307819
8,931,972,96.4307819
8,934,981,57.8523382
8,944,525,129.8512809
8,944,944,82.9232353
8,944,946,157.9891813
8,947,631,224.3280618
8,951,956,118.1759592
8,958,523,198.3260246
8,975,1193,147.0884764
8,987,987,96.0174751
8,988,1124,101.4295826
8,992,740,65.7958219
8,992,992,69.562007
8,1006,464,115.3879759
8,1023,1065,91.2269688
8,1025,1025,57.0471739
8,1040,629,91.928532
8,1040,992,65.7958219
8,1051,1095,198.9989888
8,1057,1008,108.4341594
8,1057,1055,52.1310449
8,1068,611,212.7500977
8,1076,984,67.0054885
8,1087,1179,92.2455611
8,1088,893,78.9201404
8,1095,1178,80.7899554
8,1099,1055,90.6620599
8,1101,1038,148.2895536
8,1109,1114,169.1575161
8,1113,735,108.2516582
8,1117,1029,72.3502104
8,1123,1035,100.625854
8,1125,1165,75.2761271
8,1128,737,53.6918763
8,1133,1089,65.8523696
8,1139,792,91.0894309
8,1141,630,187.6009764
8,1152,979,164.9741363
8,1156,1071,140.1806712
8,1159,1159,67.6426714
8,1165,1125,75.2761271
8,1169,1087,92.2455611
8,1192,576,107.8027939
8,1192,1228,72.0257537
8,1228,1192,72.0257537
8,1233,978,115.7372944
8,1234,1426,112.7156172
8,1261,410,103.4840043
8,1288,884,212.5138767
8,1316,322,57.1249797
8,1318,1379,62.3110344
8,1378,1347,247.5422158
8,1380,1380,154.9977929
8,1426,466,112.7156172
8,1435,409,225.3760791
8,1437,1440,90.8900072
8,1471,1118,57.0471739
8,1526,1447,157.3659261
9,2,15,78.7590246
9,15,2,78.7590246
9,46,77,66.7153917
9,70,1288,101.7571112
9,99,303,77.2739775
9,105,105,82.962487
9,126,1443,63.3603505
9,136,88,54.0318508
9,142,520,166.6883795
9,151,249,119.1478591
9,173,272,83.0121721
9,185,355,129.6175801
9,186,173,83.0121721
9,187,453,277.8886339
9,190,299,172.0140277
9,198,300,159.0608079
9,199,249,94.9894506
9,222,277,92.4570143
9,236,575,54.4108528
9,237,576,74.4205943
9,249,148,94.9894506
9,249,151,119.1478591
9,251,251,83.3590229
9,275,173,88.7100445
9,277,222,92.4570143
9,287,148,144.1376701
9,289,301,238.3548688
9,294,803,199.6856471
9,296,468,146.1466646
9,296,682,132.0250328
9,300,198,159.0608079
9,300,300,152.8452546
9,303,99,77.2739775
9,314,574,107.3582065
9,347,834,225.2179754
9,348,348,120.4922105
9,351,737,58.6957029
9,405,790,105.8084479
9,409,635,244.9812301
9,455,517,135.6515245
9,459,575,157.5551382
9,464,174,98.1412612
9,465,466,51.7941241
9,466,466,51.7941241
9,485,485,91.7407825
9,509,509,84.5376583
9,515,782,103.8337885
9,521,408,115.829354
9,522,239,82.3402852
9,522,468,136.5932257
9,522,524,277.8886339
9,522,1072,105.3997218
9,523,411,93.3294965
9,533,148,97.640914
9,540,650,84.5929169
9,548,1114,193.4854039
9,565,793,208.1280639
9,567,567,82.4021134
9,574,349,354.8457762
9,576,463,100.623362
9,576,576,74.4205943
9,577,349,99.9097297
9,577,360,109.1741011
9,577,630,73.6142346
9,577,1132,119.9469727
9,580,689,271.6014238
9,584,467,105.3997218
9,587,642,255.3486261
9,620,921,67.268213
9,625,625,95.0809566
9,630,76,73.6142346
9,630,351,140.2452439
9,630,580,63.7666869
9,630,630,208.0787863
9,630,682,71.4018295
9,632,576,92.824385
9,632,1019,46.6544102
9,634,523,112.2768837
9,636,468,83.0635862
9,649,522,136.5932257
9,650,540,84.5929169
9,675,676,94.5753091
9,681,630,140.2452439
9,718,977,51.3684714
9,735,187,196.5058146
9,737,720,191.7996746
9,737,738,159.0643288
9,741,833,222.632158
9,748,797,192.3617407
9,748,1010,66.7318617
9,770,972,129.1289492
9,784,988,51.4589361
9,786,733,60.011334
9,787,979,66.3893553
9,789,408,177.6708764
9,792,1007,51.8853385
9,797,574,133.1033146
9,837,576,168.4613938
9,845,683,53.5878081
9,854,954,103.5143262
9,871,972,184.2659274
9,881,1180,64.6446712
9,887,784,63.7757013
9,893,1083,81.2291936
9,893,1088,78.9201404
9,896,575,249.9646185
9,899,576,66.7985314
9,921,620,67.268213
9,927,943,84.5077476
9,940,988,77.1901123
9,944,686,157.9891813
9,954,851,50.9186756
9,954,854,103.5143262
9,956,998,118.1759592
9,972,770,129.1289492
9,972,871,184.2659274
9,972,931,96.4307819
9,977,718,51.3684714
9,978,624,187.8670663
9,978,1070,78.5013734
9,979,1347,67.0065339
9,986,682,137.0993646
9,999,999,86.1955582
9,1007,792,51.8853385
9,1010,748,66.7318617
9,1021,500,224.7049299
9,1023,1112,117.6599443
9,1033,466,151.8931806
9,1035,1201,62.2565864
9,1038,1101,148.2895536
9,1040,632,108.2516582
9,1041,1041,88.142225
9,1050,1439,55.8361219
9,1052,954,50.9186756
9,1071,979,140.1806712
