departure_hour,start_hex_id,end_hex_id,demands
10,117,WestBound,48.43855575
10,120,166,46.23162426
10,134,178,112.8380657
10,150,184,66.68140302
10,150,226,84.55244958
10,151,166,124.4997374
10,153,215,91.38964959
10,155,EastBound,145.5147009
10,156,EastBound,48.89760669
10,164,EastBound,212.8583729
10,166,151,124.4997374
10,167,EastBound,66.89759679
10,168,EastBound,126.1626041
10,170,EastBound,52.06710438
10,173,WestBound,127.2598112
10,175,192,59.80924989
10,176,EastBound,87.71899158
10,184,213,66.68140302
10,205,189,113.2753073
10,205,215,68.21849583
10,207,WestBound,58.75150581
10,209,EastBound,66.41914986
10,211,WestBound,69.47110107
10,213,150,66.68140302
10,215,153,91.38964959
10,215,226,61.58089062
10,221,EastBound,78.89464611
10,224,225,167.9007505
10,225,182,105.8939499
10,226,215,61.58089062
10,226,EastBound,84.55244958
10,231,EastBound,191.4351556
10,240,240,149.3455097
10,247,WestBound,56.03092776
10,251,WestBound,94.78363527
10,259,WestBound,60.03992952
10,260,EastBound,89.85435579
10,EastBound,29,58.18020408
10,EastBound,55,90.63859428
10,EastBound,114,60.22637262
10,EastBound,142,213.1636391
10,EastBound,156,48.89760669
10,EastBound,164,81.18812655
10,EastBound,175,123.3894281
10,EastBound,192,105.2255642
10,EastBound,221,78.89464611
10,EastBound,235,60.30588051
10,EastBound,245,64.82317833
10,EastBound,259,60.03992952
10,WestBound,8,36.01997343
10,WestBound,71,104.4815398
10,WestBound,167,127.2034773
10,WestBound,179,116.416979
10,WestBound,184,216.215372
10,WestBound,204,65.92046121
10,WestBound,244,68.56291548
11,7,WestBound,163.8250576
11,9,10,57.66152893
11,10,0,68.62855766
11,10,24,57.66152893
11,28,WestBound,58.9512599
11,29,111,85.52946708
11,29,EastBound,42.01903628
11,32,EastBound,127.599154
11,34,211,109.9523855
11,67,127,137.3429828
11,79,89,154.5767742
11,94,EastBound,28.09812928
11,111,110,55.48425727
11,120,EastBound,64.89481252
11,146,195,49.4174863
11,146,196,105.0320515
11,158,EastBound,38.96156674
11,159,EastBound,91.32665808
11,166,120,33.38950641
11,168,214,82.84017625
11,168,225,44.24005105
11,168,EastBound,53.72588774
11,173,206,43.55356753
11,178,134,81.49415859
11,179,WestBound,36.44474893
11,196,28,58.9512599
11,196,196,52.81608046
11,203,EastBound,68.50981917
11,204,219,47.02763676
11,214,EastBound,53.57589413
11,215,205,49.26891366
11,216,75,125.7655125
11,237,202,52.30260744
11,238,EastBound,99.58809536
11,244,WestBound,135.5541173
11,EastBound,21,96.34783587
11,EastBound,92,70.07181604
11,EastBound,151,109.5809774
11,EastBound,153,65.88687352
11,EastBound,158,41.45420585
11,EastBound,199,17.25001363
11,EastBound,209,47.96938601
11,EastBound,225,86.54925468
11,EastBound,245,30.90708147
11,EastBound,263,49.68737157
11,WestBound,5,60.11932979
11,WestBound,9,121.3316967
11,WestBound,46,34.98340138
11,WestBound,178,101.0825768
11,WestBound,179,36.44474893
11,WestBound,180,76.42425525
11,WestBound,207,42.43164309
12,8,EastBound,26.01442526
12,9,WestBound,121.3316967
12,12,12,60.30753742
12,33,EastBound,32.61721918
12,54,EastBound,51.16452991
12,62,WestBound,84.68099452
12,65,88,134.953286
12,75,97,125.7655125
12,78,EastBound,260.1583409
12,88,65,134.953286
12,89,EastBound,154.5767742
12,91,80,90.15331254
12,94,EastBound,51.86172557
12,110,111,55.48425727
12,119,119,48.27259411
12,123,178,44.88968484
12,142,EastBound,153.9515171
12,146,115,57.49370679
12,146,123,71.21462257
12,153,EastBound,65.88687352
12,156,EastBound,106.4812336
12,167,EastBound,43.55424703
12,168,EastBound,50.98427288
12,171,EastBound,39.9397663
12,175,EastBound,89.11458699
12,177,94,118.1530146
12,178,WestBound,131.4079434
12,180,WestBound,76.42425525
12,184,WestBound,156.1555464
12,193,EastBound,65.4068051
12,195,182,59.29752972
12,196,146,105.0320515
12,201,167,51.02589271
12,202,216,76.43513293
12,204,226,162.8523248
12,225,224,121.2616531
12,235,EastBound,43.55424703
12,244,WestBound,49.51766118
12,248,248,135.0013616
12,EastBound,30,89.76246942
12,EastBound,78,121.8591537
12,EastBound,94,73.58929331
12,EastBound,111,60.27664136
12,EastBound,142,153.9515171
12,EastBound,158,44.90562174
12,EastBound,172,37.60401983
12,EastBound,174,75.796188
12,EastBound,184,122.1135931
12,EastBound,201,52.51347101
12,EastBound,208,98.73056739
12,EastBound,214,53.57589413
12,EastBound,216,106.4644145
12,EastBound,231,65.59504445
12,EastBound,237,105.36383
12,EastBound,258,152.9428992
12,EastBound,260,64.89481252
12,WestBound,7,163.8250576
12,WestBound,58,117.1116649
12,WestBound,62,84.68099452
12,WestBound,164,67.82197507
12,WestBound,196,58.9512599
12,WestBound,225,43.36217132
12,WestBound,244,135.5541173
12,WestBound,251,68.4548477
13,9,9,41.18422782
13,9,EastBound,53.50119723
13,31,EastBound,55.06837096
13,42,42,56.35045293
13,80,70,90.15331254
13,94,EastBound,37.59948127
13,110,111,55.48425727
13,111,110,55.48425727
13,115,146,57.49370679
13,123,146,71.21462257
13,127,67,137.3429828
13,145,WestBound,74.79316286
13,148,EastBound,44.47250607
13,150,EastBound,48.15879107
13,153,EastBound,62.99571759
13,155,EastBound,138.1340199
13,156,EastBound,143.4590169
13,157,EastBound,126.210878
13,158,EastBound,86.35982758
13,168,169,43.15308095
13,169,168,43.15308095
13,177,EastBound,46.81673991
13,178,123,44.88968484
13,179,WestBound,84.07892929
13,180,WestBound,85.47590181
13,182,195,59.29752972
13,184,EastBound,122.1135931
13,192,175,43.19556937
13,195,146,49.4174863
13,196,EastBound,58.9512599
13,199,199,64.05932533
13,201,215,52.51347101
13,206,173,43.55356753
13,209,WestBound,47.96938601
13,214,168,82.84017625
13,215,EastBound,52.51347101
13,216,202,76.43513293
13,216,WestBound,69.55365937
13,219,204,47.02763676
13,225,168,44.24005105
13,237,EastBound,105.36383
13,240,EastBound,179.0874637
13,245,239,30.90708147
13,EastBound,69,62.36657772
13,EastBound,72,53.96467609
13,EastBound,78,63.50411529
13,EastBound,113,110.7042438
13,EastBound,157,126.210878
13,EastBound,163,121.1805483
13,EastBound,179,77.82985074
13,EastBound,188,85.09365534
13,EastBound,196,58.9512599
13,EastBound,205,91.11743628
13,EastBound,231,138.2587235
13,EastBound,238,99.58809536
13,EastBound,259,103.3895251
13,WestBound,83,85.06049097
13,WestBound,122,76.04864897
13,WestBound,226,186.3106975
13,WestBound,247,40.46678116
14,5,WestBound,60.11932979
14,7,7,59.19897263
14,8,WestBound,26.01442526
14,10,10,50.93126077
14,29,WestBound,37.13123681
14,47,EastBound,75.89462719
14,58,WestBound,117.1116649
14,67,125,137.3429828
14,86,WestBound,73.59547767
14,92,EastBound,70.07181604
14,115,EastBound,45.10128994
14,118,WestBound,83.93381698
14,142,EastBound,153.9515171
14,144,144,119.7728528
14,144,179,43.72433845
14,158,EastBound,102.1428988
14,167,EastBound,75.22924136
14,174,174,151.592376
14,176,176,62.41135882
14,178,144,43.72433845
14,179,178,43.72433845
14,183,WestBound,100.8239095
14,192,EastBound,75.99624078
14,196,EastBound,58.9512599
14,201,EastBound,39.25189762
14,202,237,52.30260744
14,204,215,105.6393631
14,214,WestBound,171.7588961
14,215,226,105.6393631
14,216,EastBound,106.4644145
14,226,204,105.6393631
14,226,231,186.3106975
14,245,215,46.81673991
14,259,EastBound,103.3895251
14,263,EastBound,49.68737157
14,EastBound,8,26.01442526
14,EastBound,16,20.46653096
14,EastBound,27,42.14090426
14,EastBound,92,105.6506441
14,EastBound,111,33.44830847
14,EastBound,155,138.1340199
14,EastBound,158,38.96156674
14,EastBound,178,55.06837096
14,EastBound,214,171.7588961
14,WestBound,32,127.599154
14,WestBound,118,83.93381698
14,WestBound,209,47.96938601
14,WestBound,216,69.55365937
14,WestBound,245,95.60750966
15,7,7,163.8250576
15,21,24,53.95791187
15,72,EastBound,53.96467609
15,98,125,46.83407866
15,110,111,55.48425727
15,111,110,55.48425727
15,111,EastBound,60.27664136
15,111,WestBound,85.52946708
15,117,WestBound,61.14550501
15,125,98,46.83407866
15,125,127,137.3429828
15,134,EastBound,73.46209449
15,145,EastBound,105.0320515
15,146,115,57.49370679
15,146,145,105.0320515
15,158,EastBound,38.96156674
15,159,WestBound,91.32665808
15,163,EastBound,42.01903628
15,165,165,105.2330921
15,166,EastBound,33.47291032
15,173,206,43.55356753
15,175,EastBound,44.88968484
15,178,31,55.06837096
15,179,18,77.82985074
15,179,WestBound,130.2250004
15,182,182,76.4789638
15,184,EastBound,127.3281889
15,195,182,59.29752972
15,196,WestBound,52.81608046
15,199,EastBound,17.25001363
15,202,EastBound,76.43513293
15,204,219,47.02763676
15,214,EastBound,171.7588961
15,215,245,46.81673991
15,225,164,86.54925468
15,225,225,138.2587235
15,225,EastBound,138.2587235
15,226,227,82.50836185
15,226,EastBound,142.9398045
15,227,226,82.50836185
15,227,227,109.2891069
15,229,EastBound,53.95826748
15,231,WestBound,65.59504445
15,238,EastBound,141.9795278
15,251,251,45.31052331
15,EastBound,98,113.2558113
15,EastBound,121,183.4557995
15,EastBound,150,48.15879107
15,EastBound,152,61.06565803
15,EastBound,153,62.99571759
15,EastBound,155,105.0939507
15,EastBound,158,41.45420585
15,EastBound,159,91.32665808
15,EastBound,172,65.88687352
15,EastBound,192,70.87343464
15,EastBound,203,98.40457387
15,EastBound,226,135.3639307
15,EastBound,229,137.292005
15,EastBound,240,55.90867555
15,EastBound,253,67.2646028
15,EastBound,259,43.36217132
15,WestBound,12,88.89491858
15,WestBound,30,61.83942414
15,WestBound,48,92.10271324
15,WestBound,183,100.8239095
15,WestBound,214,171.7588961
16,12,WestBound,97.41986814
16,15,15,132.8908767
16,18,18,239.2663145
16,27,EastBound,68.07376842
16,30,202,220.0451174
16,39,WestBound,97.21346817
16,46,WestBound,56.51164838
16,69,EastBound,247.5850318
16,70,EastBound,145.6322741
16,78,44,297.2373896
16,78,61,196.8494022
16,88,98,97.83384744
16,92,EastBound,170.666425
16,94,WestBound,118.8750123
16,97,75,203.1596741
16,98,88,97.83384744
16,111,111,89.62841559
16,113,WestBound,149.2264094
16,122,EastBound,122.8478176
16,142,EastBound,123.9014785
16,146,123,194.8672528
16,163,WestBound,195.7531934
16,164,166,116.9999838
16,164,225,139.8103345
16,166,164,116.9999838
16,168,EastBound,133.8187463
16,168,WestBound,69.70882306
16,170,WestBound,71.22548339
16,172,141,106.4326418
16,175,EastBound,147.9265674
16,188,133,137.4589817
16,189,205,132.1545252
16,199,199,161.2161929
16,200,226,59.8995326
16,204,WestBound,76.90720475
16,205,239,147.1897048
16,205,EastBound,79.58824514
16,209,209,77.48900817
16,220,EastBound,59.8995326
16,224,224,123.115142
16,225,255,65.68527599
16,226,200,59.8995326
16,226,EastBound,143.6592854
16,227,227,176.5439419
16,227,WestBound,133.2827384
16,229,EastBound,72.08898963
16,231,EastBound,223.3410149
16,239,245,49.92682391
16,240,EastBound,174.236428
16,242,WestBound,176.4059812
16,245,226,154.4429002
16,245,EastBound,49.92682391
16,249,EastBound,295.9018556
16,259,EastBound,70.04658444
16,EastBound,94,105.6987314
16,EastBound,119,98.93688966
16,EastBound,156,172.0081465
16,EastBound,158,294.8868663
16,EastBound,160,197.9048419
16,EastBound,164,73.04010735
16,EastBound,167,70.3568606
16,EastBound,173,148.4697797
16,EastBound,183,108.5521109
16,EastBound,184,262.90323
16,EastBound,191,141.4664895
16,EastBound,199,169.991918
16,EastBound,211,220.4021762
16,EastBound,214,203.3843876
16,EastBound,238,68.47846782
16,WestBound,34,96.55033941
16,WestBound,86,118.8850024
16,WestBound,111,138.1629853
16,WestBound,115,74.92142186
16,WestBound,154,106.1211251
16,WestBound,159,147.5276784
16,WestBound,161,133.1924429
16,WestBound,163,195.7531934
16,WestBound,174,89.5436639
